127.0.0.1 - - [05/Feb/2017:02:37:52 +0200] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:38:12 +0200] "GET /Library/index.jsp HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:38:14 +0200] "GET /Library/map/librarian/book/add_form HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:38:26 +0200] "GET /Library/map/librarian/book/add_form HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:38:29 +0200] "GET /Library/index.jsp HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:38:30 +0200] "GET /Library/map/librarian/book/add_form HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:38:32 +0200] "POST /Library/map/librarian/book/add HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:38:52 +0200] "GET /Library/map/librarian/book/add_form HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:39:43 +0200] "POST /Library/map/librarian/book/add HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:40:24 +0200] "GET /Library/map/librarian/book/add_form HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:40:35 +0200] "POST /Library/map/librarian/book/add HTTP/1.1" 200 524
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:41:48 +0200] "GET /Library/index.jsp HTTP/1.1" 200 2482
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:41:52 +0200] "GET /Library/map/librarian/book/add_form HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [05/Feb/2017:02:41:53 +0200] "POST /Library/map/librarian/book/add HTTP/1.1" 200 2054
